date,phase,phase_label,is_weekend,semester
2023-09-01,start,Semester-Start Week,0,2023F
2023-09-02,start,Semester-Start Week,1,2023F
2023-09-03,start,Semester-Start Week,1,2023F
2023-09-04,start,Semester-Start Week,0,2023F
2023-09-05,start,Semester-Start Week,0,2023F
2023-09-06,start,Semester-Start Week,0,2023F
2023-09-07,start,Semester-Start Week,0,2023F
2023-09-08,start,Semester-Start Week,0,2023F
2023-09-09,start,Semester-Start Week,1,2023F
2023-09-10,start,Semester-Start Week,1,2023F
2023-09-11,selection,Course-Selection Week,0,2023F
2023-09-12,selection,Course-Selection Week,0,2023F
2023-09-13,selection,Course-Selection Week,0,2023F
2023-09-14,selection,Course-Selection Week,0,2023F
2023-09-15,selection,Course-Selection Week,0,2023F
2023-09-16,selection,Course-Selection Week,1,2023F
2023-09-17,selection,Course-Selection Week,1,2023F
2023-09-18,regular,Regular Teaching Week,0,2023F
2023-09-19,regular,Regular Teaching Week,0,2023F
2023-09-20,regular,Regular Teaching Week,0,2023F
2023-09-21,regular,Regular Teaching Week,0,2023F
2023-09-22,regular,Regular Teaching Week,0,2023F
2023-09-23,regular,Regular Teaching Week,1,2023F
2023-09-24,regular,Regular Teaching Week,1,2023F
2023-09-25,regular,Regular Teaching Week,0,2023F
2023-09-26,regular,Regular Teaching Week,0,2023F
2023-09-27,regular,Regular Teaching Week,0,2023F
2023-09-28,regular,Regular Teaching Week,0,2023F
2023-09-29,regular,Regular Teaching Week,0,2023F
2023-09-30,regular,Regular Teaching Week,1,2023F
2023-10-01,vacation,Vacation,1,2023F
2023-10-02,vacation,Vacation,0,2023F
2023-10-03,vacation,Vacation,0,2023F
2023-10-04,vacation,Vacation,0,2023F
2023-10-05,vacation,Vacation,0,2023F
2023-10-06,vacation,Vacation,0,2023F
2023-10-07,vacation,Vacation,1,2023F
2023-10-08,regular,Regular Teaching Week,1,2023F
2023-10-09,regular,Regular Teaching Week,0,2023F
2023-10-10,regular,Regular Teaching Week,0,2023F
2023-10-11,regular,Regular Teaching Week,0,2023F
2023-10-12,regular,Regular Teaching Week,0,2023F
2023-10-13,regular,Regular Teaching Week,0,2023F
2023-10-14,regular,Regular Teaching Week,1,2023F
2023-10-15,regular,Regular Teaching Week,1,2023F
2023-10-16,regular,Regular Teaching Week,0,2023F
2023-10-17,regular,Regular Teaching Week,0,2023F
2023-10-18,regular,Regular Teaching Week,0,2023F
2023-10-19,regular,Regular Teaching Week,0,2023F
2023-10-20,regular,Regular Teaching Week,0,2023F
2023-10-21,regular,Regular Teaching Week,1,2023F
2023-10-22,regular,Regular Teaching Week,1,2023F
2023-10-23,regular,Regular Teaching Week,0,2023F
2023-10-24,regular,Regular Teaching Week,0,2023F
2023-10-25,regular,Regular Teaching Week,0,2023F
2023-10-26,regular,Regular Teaching Week,0,2023F
2023-10-27,regular,Regular Teaching Week,0,2023F
2023-10-28,regular,Regular Teaching Week,1,2023F
2023-10-29,regular,Regular Teaching Week,1,2023F
2023-10-30,regular,Regular Teaching Week,0,2023F
2023-10-31,regular,Regular Teaching Week,0,2023F
2023-11-01,regular,Regular Teaching Week,0,2023F
2023-11-02,regular,Regular Teaching Week,0,2023F
2023-11-03,regular,Regular Teaching Week,0,2023F
2023-11-04,regular,Regular Teaching Week,1,2023F
2023-11-05,regular,Regular Teaching Week,1,2023F
2023-11-06,regular,Regular Teaching Week,0,2023F
2023-11-07,regular,Regular Teaching Week,0,2023F
2023-11-08,regular,Regular Teaching Week,0,2023F
2023-11-09,regular,Regular Teaching Week,0,2023F
2023-11-10,regular,Regular Teaching Week,0,2023F
2023-11-11,regular,Regular Teaching Week,1,2023F
2023-11-12,regular,Regular Teaching Week,1,2023F
2023-11-13,regular,Regular Teaching Week,0,2023F
2023-11-14,regular,Regular Teaching Week,0,2023F
2023-11-15,regular,Regular Teaching Week,0,2023F
2023-11-16,regular,Regular Teaching Week,0,2023F
2023-11-17,regular,Regular Teaching Week,0,2023F
2023-11-18,regular,Regular Teaching Week,1,2023F
2023-11-19,regular,Regular Teaching Week,1,2023F
2023-11-20,regular,Regular Teaching Week,0,2023F
2023-11-21,regular,Regular Teaching Week,0,2023F
2023-11-22,regular,Regular Teaching Week,0,2023F
2023-11-23,regular,Regular Teaching Week,0,2023F
2023-11-24,regular,Regular Teaching Week,0,2023F
2023-11-25,regular,Regular Teaching Week,1,2023F
2023-11-26,regular,Regular Teaching Week,1,2023F
2023-11-27,regular,Regular Teaching Week,0,2023F
2023-11-28,regular,Regular Teaching Week,0,2023F
2023-11-29,regular,Regular Teaching Week,0,2023F
2023-11-30,regular,Regular Teaching Week,0,2023F
2023-12-01,regular,Regular Teaching Week,0,2023F
2023-12-02,regular,Regular Teaching Week,1,2023F
2023-12-03,regular,Regular Teaching Week,1,2023F
2023-12-04,regular,Regular Teaching Week,0,2023F
2023-12-05,regular,Regular Teaching Week,0,2023F
2023-12-06,regular,Regular Teaching Week,0,2023F
2023-12-07,regular,Regular Teaching Week,0,2023F
2023-12-08,regular,Regular Teaching Week,0,2023F
2023-12-09,regular,Regular Teaching Week,1,2023F
2023-12-10,regular,Regular Teaching Week,1,2023F
2023-12-11,regular,Regular Teaching Week,0,2023F
2023-12-12,regular,Regular Teaching Week,0,2023F
2023-12-13,regular,Regular Teaching Week,0,2023F
2023-12-14,regular,Regular Teaching Week,0,2023F
2023-12-15,regular,Regular Teaching Week,0,2023F
2023-12-16,regular,Regular Teaching Week,1,2023F
2023-12-17,regular,Regular Teaching Week,1,2023F
2023-12-18,regular,Regular Teaching Week,0,2023F
2023-12-19,regular,Regular Teaching Week,0,2023F
2023-12-20,regular,Regular Teaching Week,0,2023F
2023-12-21,regular,Regular Teaching Week,0,2023F
2023-12-22,regular,Regular Teaching Week,0,2023F
2023-12-23,regular,Regular Teaching Week,1,2023F
2023-12-24,regular,Regular Teaching Week,1,2023F
2023-12-25,regular,Regular Teaching Week,0,2023F
2023-12-26,regular,Regular Teaching Week,0,2023F
2023-12-27,regular,Regular Teaching Week,0,2023F
2023-12-28,regular,Regular Teaching Week,0,2023F
2023-12-29,regular,Regular Teaching Week,0,2023F
2023-12-30,regular,Regular Teaching Week,1,2023F
2023-12-31,regular,Regular Teaching Week,1,2023F
2024-01-01,regular,Regular Teaching Week,0,2023F
2024-01-02,regular,Regular Teaching Week,0,2023F
2024-01-03,regular,Regular Teaching Week,0,2023F
2024-01-04,regular,Regular Teaching Week,0,2023F
2024-01-05,regular,Regular Teaching Week,0,2023F
2024-01-06,regular,Regular Teaching Week,1,2023F
2024-01-07,regular,Regular Teaching Week,1,2023F
2024-01-08,exam,Examination Week,0,2023F
2024-01-09,exam,Examination Week,0,2023F
2024-01-10,exam,Examination Week,0,2023F
2024-01-11,exam,Examination Week,0,2023F
2024-01-12,exam,Examination Week,0,2023F
2024-01-13,exam,Examination Week,1,2023F
2024-01-14,exam,Examination Week,1,2023F
2024-01-15,exam,Examination Week,0,2023F
2024-01-16,exam,Examination Week,0,2023F
2024-01-17,exam,Examination Week,0,2023F
2024-01-18,regular,Regular Teaching Week,0,2023F
2024-01-19,regular,Regular Teaching Week,0,2023F
2024-01-20,regular,Regular Teaching Week,1,2023F
2024-01-21,regular,Regular Teaching Week,1,2023F
2024-01-22,regular,Regular Teaching Week,0,2023F
2024-01-23,regular,Regular Teaching Week,0,2023F
2024-01-24,regular,Regular Teaching Week,0,2023F
2024-01-25,regular,Regular Teaching Week,0,2023F
2024-01-26,regular,Regular Teaching Week,0,2023F
2024-01-27,regular,Regular Teaching Week,1,2023F
2024-01-28,regular,Regular Teaching Week,1,2023F
