date,phase,requests,writes,avg_resp_ms,distinct_objects,distinct_users,write_rate
2023-09-01,start,6587,900,186.66,4372,4344,0.1366
2023-09-02,start,3988,545,186.65,2740,2994,0.1367
2023-09-03,start,4545,630,186.89,3067,3318,0.1386
2023-09-04,start,8638,1206,187.12,5706,5142,0.1396
2023-09-05,start,7300,1039,187.09,4878,4622,0.1423
2023-09-06,start,7196,987,186.97,4853,4571,0.1372
2023-09-07,start,6958,991,187.32,4710,4511,0.1424
2023-09-08,start,7527,1022,187.18,4985,4792,0.1358
2023-09-09,start,3781,522,187.49,2601,2857,0.1381
2023-09-10,start,2971,401,187.04,2085,2373,0.135
2023-09-11,selection,20902,2999,285.23,13069,8309,0.1435
2023-09-12,selection,21063,3006,284.54,13063,8334,0.1427
2023-09-13,selection,16243,2249,284.93,10426,7433,0.1385
2023-09-14,selection,18676,2688,285.13,11856,7941,0.1439
2023-09-15,selection,15991,2262,285.41,10132,7340,0.1415
2023-09-16,selection,15826,2191,284.91,10160,7338,0.1384
2023-09-17,selection,15884,2280,285.07,10157,7336,0.1435
2023-09-18,regular,3999,241,81.73,2825,2963,0.0603
2023-09-19,regular,4009,244,81.97,2807,3008,0.0609
2023-09-20,regular,3734,198,81.95,2655,2834,0.053
2023-09-21,regular,5806,327,81.82,4065,3955,0.0563
2023-09-22,regular,4794,294,81.87,3378,3427,0.0613
2023-09-23,regular,1370,83,82.2,1007,1210,0.0606
2023-09-24,regular,1508,78,81.79,1146,1310,0.0517
2023-09-25,regular,4380,271,81.84,3039,3178,0.0619
2023-09-26,regular,4404,276,82.0,3099,3245,0.0627
2023-09-27,regular,4183,230,81.98,2935,3059,0.055
2023-09-28,regular,4694,252,82.05,3291,3424,0.0537
2023-09-29,regular,4256,239,81.81,3011,3132,0.0562
2023-09-30,regular,1353,88,82.09,1000,1198,0.065
2023-10-01,vacation,1169,99,31.0,801,1064,0.0847
2023-10-02,vacation,1187,98,30.96,796,1070,0.0826
2023-10-03,vacation,1061,92,31.04,697,975,0.0867
2023-10-04,vacation,1031,100,31.04,716,937,0.097
2023-10-05,vacation,1026,88,30.95,704,936,0.0858
2023-10-06,vacation,1416,136,30.97,932,1252,0.096
2023-10-07,vacation,1183,108,30.96,816,1074,0.0913
2023-10-08,regular,1516,93,81.72,1112,1334,0.0613
2023-10-09,regular,4458,292,81.94,3113,3285,0.0655
2023-10-10,regular,4529,242,82.0,3180,3251,0.0534
2023-10-11,regular,4759,278,82.02,3378,3427,0.0584
2023-10-12,regular,4451,271,81.93,3153,3294,0.0609
2023-10-13,regular,4901,303,82.09,3400,3520,0.0618
2023-10-14,regular,1542,103,81.99,1125,1346,0.0668
2023-10-15,regular,1478,84,81.47,1092,1306,0.0568
2023-10-16,regular,4731,268,82.06,3331,3420,0.0566
2023-10-17,regular,4835,316,82.21,3273,3489,0.0654
2023-10-18,regular,4387,264,82.09,3073,3180,0.0602
2023-10-19,regular,6051,346,81.96,4146,4119,0.0572
2023-10-20,regular,5022,277,81.92,3496,3535,0.0552
2023-10-21,regular,1392,85,82.1,981,1233,0.0611
2023-10-22,regular,1429,92,81.82,1056,1261,0.0644
2023-10-23,regular,4991,328,82.01,3471,3577,0.0657
2023-10-24,regular,3860,220,82.04,2724,2920,0.057
2023-10-25,regular,5442,308,81.96,3842,3730,0.0566
2023-10-26,regular,4007,243,81.96,2837,2977,0.0606
2023-10-27,regular,3959,232,82.06,2812,2939,0.0586
2023-10-28,regular,1403,91,82.13,1017,1241,0.0649
2023-10-29,regular,1619,92,82.1,1191,1429,0.0568
2023-10-30,regular,4800,268,81.84,3305,3468,0.0558
2023-10-31,regular,5253,315,82.06,3666,3640,0.06
2023-11-01,regular,5383,311,82.14,3677,3764,0.0578
2023-11-02,regular,4792,272,82.08,3318,3457,0.0568
2023-11-03,regular,4299,255,81.95,2957,3172,0.0593
2023-11-04,regular,1468,92,82.23,1060,1287,0.0627
2023-11-05,regular,1442,94,82.15,1062,1287,0.0652
2023-11-06,regular,4671,278,81.94,3271,3374,0.0595
2023-11-07,regular,4134,232,82.13,2896,3075,0.0561
2023-11-08,regular,4425,289,81.82,3129,3184,0.0653
2023-11-09,regular,4365,275,81.97,3127,3198,0.063
2023-11-10,regular,3774,232,82.09,2615,2875,0.0615
2023-11-11,regular,1514,85,81.65,1109,1330,0.0561
2023-11-12,regular,1800,122,82.04,1341,1566,0.0678
2023-11-13,regular,4828,292,81.79,3367,3440,0.0605
2023-11-14,regular,4591,256,81.98,3206,3307,0.0558
2023-11-15,regular,4421,276,81.82,3057,3238,0.0624
2023-11-16,regular,4509,307,81.86,3112,3259,0.0681
2023-11-17,regular,5231,264,82.1,3628,3647,0.0505
2023-11-18,regular,1850,114,81.82,1325,1589,0.0616
2023-11-19,regular,1418,88,82.15,1033,1263,0.0621
2023-11-20,regular,3918,238,82.16,2755,2948,0.0607
2023-11-21,regular,4425,259,81.92,3026,3232,0.0585
2023-11-22,regular,4981,307,81.94,3504,3550,0.0616
2023-11-23,regular,5197,312,82.12,3621,3676,0.06
2023-11-24,regular,3995,223,81.83,2825,2976,0.0558
2023-11-25,regular,1385,91,81.89,1024,1239,0.0657
2023-11-26,regular,1424,86,82.03,1088,1247,0.0604
2023-11-27,regular,3732,207,81.87,2608,2808,0.0555
2023-11-28,regular,4531,247,82.15,3160,3320,0.0545
2023-11-29,regular,4546,259,81.85,3133,3348,0.057
2023-11-30,regular,5100,306,81.89,3471,3577,0.06
2023-12-01,regular,4718,267,81.95,3298,3467,0.0566
2023-12-02,regular,2027,110,81.97,1449,1736,0.0543
2023-12-03,regular,1475,93,81.66,1080,1308,0.0631
2023-12-04,regular,4565,270,81.94,3182,3308,0.0591
2023-12-05,regular,4451,249,82.0,3147,3236,0.0559
2023-12-06,regular,5029,303,82.02,3516,3603,0.0603
2023-12-07,regular,4524,266,82.06,3198,3315,0.0588
2023-12-08,regular,5798,344,81.75,4022,3898,0.0593
2023-12-09,regular,1326,69,81.76,967,1183,0.052
2023-12-10,regular,1590,100,81.91,1148,1382,0.0629
2023-12-11,regular,4428,258,81.89,3185,3229,0.0583
2023-12-12,regular,4852,295,81.85,3406,3428,0.0608
2023-12-13,regular,5033,304,82.14,3502,3540,0.0604
2023-12-14,regular,4348,228,81.81,3016,3208,0.0524
2023-12-15,regular,4979,312,81.93,3418,3522,0.0627
2023-12-16,regular,1590,112,81.93,1165,1391,0.0704
2023-12-17,regular,1434,95,82.23,1049,1287,0.0662
2023-12-18,regular,4324,263,81.97,3045,3191,0.0608
2023-12-19,regular,4074,245,82.15,2900,2994,0.0601
2023-12-20,regular,4255,257,82.04,3001,3123,0.0604
2023-12-21,regular,5225,318,81.97,3610,3659,0.0609
2023-12-22,regular,4852,286,82.08,3384,3473,0.0589
2023-12-23,regular,1533,96,82.03,1104,1349,0.0626
2023-12-24,regular,1608,99,82.07,1164,1378,0.0616
2023-12-25,regular,4341,242,82.09,3013,3175,0.0557
2023-12-26,regular,4006,227,81.92,2801,2968,0.0567
2023-12-27,regular,5536,329,81.97,3873,3857,0.0594
2023-12-28,regular,4217,246,82.03,2998,3124,0.0583
2023-12-29,regular,3956,228,82.11,2817,2983,0.0576
2023-12-30,regular,1682,91,81.87,1250,1449,0.0541
2023-12-31,regular,1768,106,81.94,1265,1534,0.06
2024-01-01,regular,4220,223,82.03,2915,3131,0.0528
2024-01-02,regular,5636,333,82.01,3948,3873,0.0591
2024-01-03,regular,4792,296,82.02,3373,3444,0.0618
2024-01-04,regular,4260,259,82.1,2946,3151,0.0608
2024-01-05,regular,3685,222,81.62,2588,2811,0.0602
2024-01-06,regular,1850,113,82.11,1320,1567,0.0611
2024-01-07,regular,1396,75,82.12,1025,1241,0.0537
2024-01-08,exam,14288,1685,223.09,9632,6917,0.1179
2024-01-09,exam,15605,1852,223.09,10552,7217,0.1187
2024-01-10,exam,13448,1537,222.92,9138,6676,0.1143
2024-01-11,exam,13341,1588,223.04,9045,6696,0.119
2024-01-12,exam,14751,1747,223.1,9922,7057,0.1184
2024-01-13,exam,10264,1215,222.76,7074,5779,0.1184
2024-01-14,exam,10124,1221,223.22,6964,5705,0.1206
