method,sample_id,latency_ms
Static-3T,0,7.6
Static-3T,1,7.6
Static-3T,2,7.6
Static-3T,3,7.61
Static-3T,4,7.61
Static-3T,5,7.61
Static-3T,6,7.61
Static-3T,7,7.61
Static-3T,8,7.62
Static-3T,9,7.62
Static-3T,10,7.62
Static-3T,11,7.62
Static-3T,12,7.62
Static-3T,13,7.63
Static-3T,14,7.63
Static-3T,15,7.63
Static-3T,16,7.63
Static-3T,17,7.63
Static-3T,18,7.64
Static-3T,19,7.64
Static-3T,20,7.64
Static-3T,21,7.64
Static-3T,22,7.64
Static-3T,23,7.64
Static-3T,24,7.65
Static-3T,25,7.65
Static-3T,26,7.65
Static-3T,27,7.65
Static-3T,28,7.65
Static-3T,29,7.66
Static-3T,30,7.66
Static-3T,31,7.66
Static-3T,32,7.66
Static-3T,33,7.66
Static-3T,34,7.67
Static-3T,35,7.67
Static-3T,36,7.67
Static-3T,37,7.67
Static-3T,38,7.67
Static-3T,39,7.68
Static-3T,40,7.68
Static-3T,41,7.68
Static-3T,42,7.68
Static-3T,43,7.68
Static-3T,44,7.69
Static-3T,45,7.69
Static-3T,46,7.69
Static-3T,47,7.69
Static-3T,48,7.69
Static-3T,49,7.69
Static-3T,50,7.7
Static-3T,51,7.7
Static-3T,52,7.7
Static-3T,53,7.7
Static-3T,54,7.71
Static-3T,55,7.71
Static-3T,56,7.71
Static-3T,57,7.71
Static-3T,58,7.71
Static-3T,59,7.71
Static-3T,60,7.72
Static-3T,61,7.72
Static-3T,62,7.72
Static-3T,63,7.72
Static-3T,64,7.72
Static-3T,65,7.73
Static-3T,66,7.73
Static-3T,67,7.73
Static-3T,68,7.73
Static-3T,69,7.73
Static-3T,70,7.74
Static-3T,71,7.74
Static-3T,72,7.74
Static-3T,73,7.74
Static-3T,74,7.74
Static-3T,75,7.75
Static-3T,76,7.75
Static-3T,77,7.75
Static-3T,78,7.75
Static-3T,79,7.75
Static-3T,80,7.76
Static-3T,81,7.76
Static-3T,82,7.76
Static-3T,83,7.76
Static-3T,84,7.76
Static-3T,85,7.77
Static-3T,86,7.77
Static-3T,87,7.77
Static-3T,88,7.77
Static-3T,89,7.77
Static-3T,90,7.78
Static-3T,91,7.78
Static-3T,92,7.78
Static-3T,93,7.78
Static-3T,94,7.78
Static-3T,95,7.79
Static-3T,96,7.79
Static-3T,97,7.79
Static-3T,98,7.79
Static-3T,99,7.79
Static-3T,100,7.8
Static-3T,101,7.8
Static-3T,102,7.8
Static-3T,103,7.8
Static-3T,104,7.8
Static-3T,105,7.8
Static-3T,106,7.81
Static-3T,107,7.81
Static-3T,108,7.81
Static-3T,109,7.81
Static-3T,110,7.82
Static-3T,111,7.82
Static-3T,112,7.82
Static-3T,113,7.82
Static-3T,114,7.82
Static-3T,115,7.83
Static-3T,116,7.83
Static-3T,117,7.83
Static-3T,118,7.83
Static-3T,119,7.83
Static-3T,120,7.84
Static-3T,121,7.84
Static-3T,122,7.84
Static-3T,123,7.84
Static-3T,124,7.84
Static-3T,125,7.85
Static-3T,126,7.85
Static-3T,127,7.85
