object_id,category,course_id,size_mb,tier_static,freq_7d,recency_days,assoc_score,access_cnt_next_7d,label_hot_next_7d
d9b5858e2c8f61bd,media,2be210c5af540cc7,66.011,warm,0,8,0.0228,0,0
e404b666b70ea03d,media,e071d15a8a7b6a14,4.657,warm,0,0,0.0254,0,0
f3435a896446863f,exam_material,5a90572283e45a1f,0.823,warm,0,0,0.0262,0,0
07cb0bd707fc389c,course_material,c2e92f86d2f15aca,477.258,cold,0,0,0.1444,0,0
be6f57c9d2309acf,grades,8a8b7e88b52d90f7,619.222,cold,0,224,0.0361,0,0
26c908f2abd89463,course_material,b9ad23577f2a7d16,4.123,hot,1,0,0.0099,0,0
6f31225d62589a78,course_material,b8fb82845a12f89e,16.471,hot,0,999,0.0232,0,0
cdb887a70f4efcab,system_log,,208.131,warm,0,22,0.0,0,0
0ebb998f581e2904,course_material,a89bd2da427906fb,69.945,warm,0,0,0.0309,0,0
8ada2b8303e4168a,system_log,,17.305,hot,0,12,0.0,0,0
9c8d33c3e4643ce7,course_material,8bd851da6e564289,5.913,hot,1,4,0.0188,0,0
231deac7554a9dd4,course_material,97830a98ab463399,1.363,hot,0,0,0.0317,0,0
6ec2b83d66f91a83,archive,,29.82,warm,0,999,0.0,0,0
7e2e021912bf3d89,system_log,,2.787,hot,0,29,0.0,0,0
aad9c99187c8daf6,course_material,21594e5a92cee062,18.083,hot,0,29,0.0221,0,0
1f28263d422fff7e,assignment,a8c38132fabd2ef8,4.74,warm,0,0,0.0387,0,0
52d47259f7519426,course_material,2f886df320b2a187,6.442,hot,0,999,0.0317,0,0
b2c65222073f7e9a,assignment,73913dd5aaafbe3e,16.726,warm,0,0,0.0453,0,0
fd75b29380fe408f,course_material,8d74f37767ad7472,1.739,hot,0,0,0.0387,0,0
1e77f657a9270cc5,course_material,8cf15ad3b95918a7,542.141,cold,0,0,0.0085,0,0
f5ebaafb0eff5366,media,d053a538b3cac7db,0.674,warm,0,0,0.0354,0,0
0250dad33e4cc733,course_material,905b73469fcb56db,16.149,hot,0,999,0.0681,0,0
7cc6d72e74bc58cc,system_log,,3.63,hot,0,138,0.0,0,0
95fb3776efd42ea8,media,03bd11ccc318092b,4.165,warm,0,11,0.0199,0,0
c245a2909d51f1d1,media,ed1b15fcf854c750,144.148,warm,0,0,0.0483,0,0
a87dd861a599dbed,system_log,,10.711,hot,1,0,0.0,0,0
c6fe2b7d8b460308,media,73913dd5aaafbe3e,6.254,warm,0,18,0.0453,0,0
72be5dfada359722,assignment,d053a538b3cac7db,10.059,warm,0,0,0.0354,0,0
e5503b963a6a14ad,assignment,2306ffc537533f15,12.292,warm,0,32,0.0206,0,0
dc8d8fcab8bfc39d,course_material,e834f61ba1a3cef5,2.512,hot,0,999,0.0232,0,0
df9149648a95e57e,course_material,16801465dd7ada51,5.262,hot,0,999,0.0203,0,0
4df1bce6f1a35b80,course_material,e1a10ce4c1244cdc,188.401,warm,0,0,0.0217,0,0
6e8c807a12c03598,exam_material,b52ae67d09e242c1,7.801,warm,0,242,0.0158,0,0
